gate,logic,A,B,k,tumour_coverage,worst_normal_leak,worst_group,vital_leak,vital_group,strict_leak,strict_group,regen_leak,pseudobulk_leak,bulk_trap_gap,not_arm_falsifiable,not_arm_detect,audited_vital,unaudited_vital,leak_is_upper_bound,verdict,selective,protein_copositivity_status,transcript_only,multiple_testing_control
SDC1 AND EPHB4,AND,SDC1,EPHB4,2,0.004,0.09,IgA plasma cell@kidney,0.015,skeletal_myocyte@bone marrow,0.09,IgA plasma cell@kidney,0.013,0.012,-0.079,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND MET,AND,EPHB4,MET,2,0.003,0.09,IgA plasma cell@kidney,0.029,skeletal_myocyte@bone marrow,0.09,IgA plasma cell@kidney,0.007,0.011,-0.079,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND FOLR1,AND,EPHB4,FOLR1,2,0.002,0.09,IgA plasma cell@kidney,0.029,skeletal_myocyte@bone marrow,0.09,IgA plasma cell@kidney,0.003,0.01,-0.08,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND NECTIN4,AND,EPHB4,NECTIN4,2,0.002,0.09,IgA plasma cell@kidney,0.015,skeletal_myocyte@bone marrow,0.09,IgA plasma cell@kidney,0.001,0.01,-0.08,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND PROM1,AND,EPHB4,PROM1,2,0.001,0.09,IgA plasma cell@kidney,0.015,skeletal_myocyte@bone marrow,0.09,IgA plasma cell@kidney,0.001,0.01,-0.08,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND MSLN,AND,EPHB4,MSLN,2,0.001,0.09,IgA plasma cell@kidney,0.015,skeletal_myocyte@bone marrow,0.09,IgA plasma cell@kidney,0.001,0.01,-0.08,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ITGB4 AND CLDN6,AND,ITGB4,CLDN6,2,0.001,0.09,IgA plasma cell@kidney,0.015,skeletal_myocyte@bone marrow,0.09,IgA plasma cell@kidney,0.001,0.013,-0.077,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND CLDN18,AND,EPHB4,CLDN18,2,0.0,0.09,IgA plasma cell@kidney,0.015,skeletal_myocyte@bone marrow,0.09,IgA plasma cell@kidney,0.001,0.01,-0.08,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
EPHB4 AND ROR1,AND,EPHB4,ROR1,2,0.0,0.09,IgA plasma cell@kidney,0.015,skeletal_myocyte@bone marrow,0.09,IgA plasma cell@kidney,0.001,0.01,-0.08,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
ITGB4 AND NECTIN4,AND,ITGB4,NECTIN4,2,0.004,0.1,respiratory goblet cell@lung,0.015,skeletal_myocyte@bone marrow,0.1,respiratory goblet cell@lung,0.001,0.01,-0.09,True,,"['adrenal_cortical', 'cardiomyocyte', 'kidney_podocyte', 'kidney_tubule', 'neuron', 'pancreatic_islet', 'skeletal_myocyte']",[],True,NON-SELECTIVE (insufficient tumour coverage),False,NO_SINGLECELL_PROTEIN_DATA,True,held-out-donor replication DEFERRED (next pass) — treat selective as DISCOVERY shortlist
